Pedido,Data Pedido,Data Saída,Previsão Entrega,Data Entrega,Comprador,Materia Prima,Quantidade,Desconto (%),Fornecedor
1,1/20/2019,1/24/2019,1/27/2019,1/31/2019,4,5,47,0,1
2,1/28/2019,1/29/2019,2/4/2019,2/7/2019,4,5,221,0,2
3,2/23/2019,2/23/2019,3/2/2019,3/2/2019,4,9,36,0,3
4,3/1/2019,3/10/2019,3/13/2019,3/19/2019,4,7,37,0,4
5,3/4/2019,3/4/2019,3/11/2019,3/15/2019,4,8,217,0,5
6,3/11/2019,3/11/2019,3/18/2019,3/20/2019,4,1,12,0,6
7,3/19/2019,3/30/2019,3/30/2019,4/5/2019,4,9,417,0,7
8,3/21/2019,4/3/2019,4/3/2019,4/5/2019,4,9,70,0,8
9,3/22/2019,3/30/2019,4/2/2019,4/7/2019,4,1,300,0,9
10,3/25/2019,3/30/2019,4/1/2019,4/7/2019,4,1,253,0,10
11,3/27/2019,3/27/2019,4/7/2019,4/8/2019,4,1,135,0,11
12,3/28/2019,3/28/2019,4/4/2019,4/7/2019,4,5,146,0,12
13,3/29/2019,4/5/2019,4/8/2019,4/11/2019,4,11,172,0,13
14,3/30/2019,4/11/2019,4/11/2019,4/13/2019,4,9,8,0,14
15,3/30/2019,3/30/2019,4/15/2019,4/17/2019,1,1,72,0,15
16,3/30/2019,4/11/2019,4/16/2019,4/18/2019,1,6,253,0,16
17,3/31/2019,3/31/2019,4/30/2019,5/2/2019,1,8,90,0,17
18,3/31/2019,4/8/2019,4/10/2019,4/15/2019,4,8,355,0,18
19,3/31/2019,3/31/2019,4/20/2019,4/20/2019,1,2,32,0,19
20,4/1/2019,4/2/2019,4/12/2019,4/15/2019,4,6,31,0,20
21,4/1/2019,4/9/2019,5/1/2019,4/30/2019,1,9,16,0,21
22,4/1/2019,4/1/2019,4/8/2019,4/10/2019,4,8,198,0,22
23,4/1/2019,4/9/2019,4/13/2019,4/11/2019,4,6,150,0,23
24,4/2/2019,4/10/2019,4/13/2019,4/16/2019,4,5,46,0,24
25,4/2/2019,4/2/2019,5/3/2019,5/4/2019,1,7,26,0,25
26,4/2/2019,4/2/2019,4/19/2019,4/18/2019,2,7,71,0,26
27,4/2/2019,4/11/2019,4/18/2019,4/19/2019,2,5,20,20,27
28,4/3/2019,4/12/2019,4/16/2019,4/23/2019,4,9,55,0,28
29,4/3/2019,4/12/2019,4/15/2019,4/21/2019,4,11,57,0,29
30,4/3/2019,4/11/2019,4/11/2019,4/11/2019,4,6,269,0,30
31,4/3/2019,4/3/2019,4/11/2019,4/13/2019,4,9,166,0,31
32,4/3/2019,4/11/2019,4/13/2019,4/19/2019,4,8,5,0,32
33,4/3/2019,4/12/2019,4/21/2019,4/26/2019,1,9,72,0,33
34,4/3/2019,4/3/2019,4/16/2019,4/17/2019,2,5,264,0,34
35,4/3/2019,4/3/2019,4/14/2019,4/18/2019,2,11,1,0,35
36,4/3/2019,4/12/2019,4/19/2019,4/22/2019,1,9,74,0,36
37,4/3/2019,4/11/2019,4/21/2019,4/22/2019,1,11,22,0,37
38,4/3/2019,4/12/2019,4/21/2019,4/23/2019,3,7,379,0,38
39,4/3/2019,4/3/2019,5/1/2019,5/1/2019,1,9,116,0,39
40,4/4/2019,4/5/2019,4/9/2019,4/12/2019,4,9,177,0,40
41,4/4/2019,4/12/2019,4/13/2019,4/17/2019,4,4,130,0,41
42,4/4/2019,4/5/2019,4/29/2019,4/30/2019,3,7,344,24,42
43,4/4/2019,4/12/2019,5/4/2019,5/7/2019,1,10,29,0,43
44,4/4/2019,4/4/2019,5/5/2019,5/5/2019,1,9,29,0,44
45,4/4/2019,4/13/2019,4/26/2019,4/29/2019,1,6,433,0,45
46,4/5/2019,4/10/2019,4/10/2019,4/12/2019,4,1,10,0,46
47,4/5/2019,4/6/2019,4/12/2019,4/16/2019,4,8,619,0,47
48,4/5/2019,4/8/2019,4/11/2019,4/14/2019,4,4,126,0,48
49,4/5/2019,4/14/2019,4/16/2019,4/21/2019,4,7,138,0,49
50,4/5/2019,4/15/2019,4/18/2019,4/17/2019,4,1,6,0,50
51,4/5/2019,4/8/2019,4/26/2019,4/27/2019,1,11,151,0,51
52,4/5/2019,4/6/2019,4/19/2019,4/19/2019,2,2,523,25,52
53,4/5/2019,4/14/2019,5/5/2019,5/7/2019,1,1,47,0,53
54,4/5/2019,4/14/2019,4/27/2019,4/29/2019,1,7,132,0,54
55,4/6/2019,4/15/2019,4/18/2019,4/21/2019,4,1,318,0,55
56,4/6/2019,4/9/2019,4/11/2019,4/15/2019,4,1,16,0,56
57,4/6/2019,4/6/2019,4/11/2019,4/14/2019,4,6,65,0,57
58,4/6/2019,4/16/2019,4/23/2019,4/24/2019,1,8,17,0,58
59,4/6/2019,4/9/2019,4/25/2019,4/25/2019,1,11,153,0,59
60,4/6/2019,4/6/2019,4/22/2019,4/24/2019,1,5,317,0,60
61,4/6/2019,4/6/2019,4/18/2019,4/19/2019,3,1,203,0,61
62,4/6/2019,4/12/2019,4/17/2019,4/19/2019,2,7,76,0,62
63,4/6/2019,4/15/2019,4/18/2019,4/20/2019,2,8,83,0,63
64,4/6/2019,4/6/2019,4/27/2019,5/2/2019,1,7,24,0,64
65,4/6/2019,4/12/2019,4/20/2019,4/22/2019,1,10,13,0,65
66,4/7/2019,4/10/2019,5/8/2019,5/10/2019,1,5,604,0,66
67,4/7/2019,4/14/2019,4/17/2019,4/21/2019,4,5,324,0,67
68,4/7/2019,4/8/2019,4/13/2019,4/16/2019,4,11,202,0,68
69,4/7/2019,4/14/2019,4/16/2019,4/19/2019,4,5,84,0,2
70,4/7/2019,4/7/2019,4/12/2019,4/13/2019,4,8,629,0,4
71,4/7/2019,4/14/2019,4/26/2019,4/27/2019,1,1,291,17,1
72,4/7/2019,4/13/2019,4/22/2019,4/22/2019,3,7,594,0,5
73,4/7/2019,4/10/2019,5/9/2019,5/10/2019,1,2,515,0,4
74,4/7/2019,4/20/2019,4/23/2019,4/26/2019,1,11,254,0,1
75,4/8/2019,4/14/2019,4/14/2019,4/18/2019,4,11,235,0,1
76,4/8/2019,4/8/2019,4/16/2019,4/17/2019,4,1,222,0,2
77,4/8/2019,4/9/2019,4/28/2019,5/2/2019,1,1,86,0,3
78,4/9/2019,4/10/2019,4/17/2019,4/18/2019,4,10,382,18,3
79,4/9/2019,4/15/2019,4/19/2019,4/17/2019,4,8,152,0,2
80,4/9/2019,4/17/2019,4/17/2019,4/22/2019,4,9,303,0,3
81,4/9/2019,4/14/2019,4/28/2019,4/30/2019,1,1,209,0,2
82,4/9/2019,4/17/2019,5/2/2019,5/2/2019,1,9,18,0,2
83,4/10/2019,4/12/2019,4/17/2019,4/22/2019,4,10,317,0,2
84,4/10/2019,4/13/2019,4/17/2019,4/18/2019,4,7,110,0,1
85,4/10/2019,4/16/2019,4/19/2019,4/18/2019,4,1,21,0,3
86,4/10/2019,4/15/2019,4/18/2019,4/19/2019,4,9,76,0,3
87,4/10/2019,4/15/2019,4/15/2019,4/20/2019,4,9,256,0,3
88,4/10/2019,4/14/2019,4/30/2019,5/2/2019,1,1,293,0,1
89,4/10/2019,4/10/2019,4/22/2019,4/24/2019,2,7,49,0,59
90,4/10/2019,4/12/2019,4/27/2019,4/26/2019,3,4,58,0,60
91,4/10/2019,4/10/2019,4/25/2019,4/27/2019,2,5,627,0,61
92,4/11/2019,4/20/2019,5/13/2019,5/14/2019,1,2,638,0,62
93,4/11/2019,4/20/2019,4/20/2019,4/25/2019,4,5,92,0,63
94,4/11/2019,4/11/2019,4/20/2019,4/18/2019,4,7,192,0,64
95,4/11/2019,4/12/2019,4/20/2019,4/18/2019,4,3,52,0,65
96,4/11/2019,4/19/2019,5/1/2019,5/4/2019,1,8,27,0,66
97,4/11/2019,4/12/2019,4/21/2019,4/22/2019,1,7,49,0,67
98,4/11/2019,4/11/2019,4/22/2019,4/25/2019,3,5,5,34,4
99,4/11/2019,4/11/2019,4/22/2019,4/23/2019,2,9,9,0,2
100,4/11/2019,4/11/2019,4/26/2019,4/27/2019,1,7,77,0,4
101,4/11/2019,4/18/2019,4/27/2019,4/29/2019,2,9,110,0,1
102,4/11/2019,4/13/2019,5/13/2019,5/12/2019,1,11,103,0,2
103,4/11/2019,4/12/2019,5/12/2019,5/15/2019,1,8,191,0,3
104,4/11/2019,4/13/2019,5/4/2019,5/4/2019,1,1,44,0,2
105,4/11/2019,4/15/2019,5/3/2019,5/4/2019,1,9,167,0,1
106,4/11/2019,4/11/2019,5/4/2019,5/6/2019,1,4,6,0,2
107,4/12/2019,4/19/2019,4/22/2019,4/21/2019,4,11,7,0,3
108,4/12/2019,4/24/2019,4/24/2019,4/27/2019,4,9,48,0,1
109,4/12/2019,4/23/2019,4/23/2019,4/27/2019,4,5,130,0,1
110,4/12/2019,4/13/2019,4/19/2019,4/21/2019,4,6,182,0,110
111,4/12/2019,4/20/2019,4/30/2019,4/30/2019,1,5,294,0,125
112,4/12/2019,4/13/2019,5/3/2019,5/2/2019,1,11,532,0,126
113,4/12/2019,4/12/2019,5/2/2019,5/1/2019,1,4,229,0,127
114,4/12/2019,4/21/2019,5/7/2019,5/8/2019,2,6,400,0,128
115,4/12/2019,4/20/2019,5/4/2019,5/8/2019,1,7,233,0,129
116,4/13/2019,4/13/2019,4/28/2019,4/28/2019,1,11,17,0,130
